#NAME,I21631-L1,I21632-L1,I21634-L1,I21635-L1,I21636-L1,I21637-L1,I21639-L1,I21641-L1,I21643-L1,I21645-L1,I21646-L1,I21647-L1,I21648-L1,I21649-L1,I21650-L1,I21651-L1,I21652-L1,I21653-L1,I21654-L1,I21655-L1,I21656-L1,I21657-L1,I21658-L1,I21659-L1,I21660-L1,I21661-L1,I21662-L1,I21663-L1,I21664-L1,I21665-L1,I21666-L1,I21667-L1,I21668-L1,I21669-L1,I21670-L1,I21671-L1,I21673-L1,I21674-L1,I21675-L1,I21676-L1,I21677-L1,I21678-L1,I21679-L1,I21680-L1,I21681-L1,I21682-L1,I21683-L1,I21684-L1,I21685-L1,I21686-L1,I21687-L1,I21688-L1,I21689-L1,I21690-L1,I21691-L1,I21692-L1,I21693-L1,I21694-L1,I21695-L1,I21696-L1,I21697-L1,I21698-L1,I21700-L1,I21701-L1,I21702-L1,I21703-L1,I21704-L1,I21705-L1,I21706-L1,I21707-L1,I21708-L1,I21709-L1,I21710-L1,I21711-L1,I21712-L1,I21713-L1,I21714-L1,I21740-L1,I21741-L1
ASV_48,0,0,0,0,0,0,0,0,110,23,0,0,0,0,139,117,0,118,0,213,556,0,201,593,0,322,3942,105,63,66,71,147,147,0,0,90,0,0,370,0,0,0,0,0,0,0,7,0,0,89,1286,62,0,183,0,155,49,341,0,139,54,0,12,0,88,0,0,0,0,24,0,0,4,0,0,0,0,282,67
ASV_49,0,0,0,0,0,0,0,0,0,29,11,0,0,0,9,0,0,0,0,0,287,0,21,60,0,0,0,0,16,113,4,10,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,99,10,8,9086,3,0,0,0,10,0,0,0,0,0,0,210,0,0,0,16,0,0,0,0,0,0,0,0,24,0
ASV_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,0,0,9180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_51,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9818,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_53,25,112,0,0,0,41,0,0,70,0,50,0,0,0,31,0,232,8,0,222,0,50,15,0,0,0,5,22,6,32,0,11,13,0,452,18,0,18,0,0,0,0,4049,48,0,0,0,0,0,0,49,26,105,33,15,20,0,0,3056,15,0,0,0,27,73,0,0,0,0,11,47,72,0,13,0,624,0,15,0
ASV_54,0,13,0,0,304,0,0,0,8395,8,24,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,29,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,10,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
ASV_55,0,0,0,0,0,0,0,15,0,32,0,0,18,0,714,6,0,102,0,733,0,0,698,80,22,118,134,143,28,0,146,63,0,0,0,168,0,0,0,0,0,0,56,0,0,0,0,0,0,12,397,36,319,721,226,446,0,1906,178,89,673,106,46,0,193,0,0,0,11,0,0,0,0,0,0,0,0,0,0
ASV_56,0,131,83,0,0,0,0,0,26,0,393,0,7,0,0,0,0,0,0,0,0,16,20,8,64,7,10,19,5,0,0,0,8,0,0,7,0,5343,0,198,0,0,8,0,0,0,0,0,0,0,15,830,0,170,10,7,0,0,0,0,0,0,0,1094,0,0,47,0,7,0,0,0,0,0,0,0,0,0,0
ASV_58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_59,0,4481,28,0,7,444,0,29,58,40,0,204,14,17,42,0,0,0,0,0,0,0,0,109,134,0,0,0,11,9,0,0,0,0,459,0,21,0,0,0,14,35,15,19,0,44,0,0,0,19,0,0,11,0,23,0,0,11,43,11,0,0,0,44,983,36,0,8,46,0,0,0,0,4,49,89,0,0,12
ASV_60,69,0,33,32,0,0,0,0,27,179,0,15,55,0,48,122,0,0,0,78,0,0,489,787,0,146,46,28,0,73,217,179,0,0,0,308,0,19,69,0,0,0,0,0,0,0,0,52,0,0,866,103,216,858,188,158,21,738,108,247,362,58,0,0,0,0,0,0,26,0,0,154,0,0,0,35,0,453,0
ASV_61,0,0,10,0,0,0,0,0,0,40,0,0,0,0,947,72,0,0,0,139,53,0,133,64,0,0,63,0,0,133,2113,0,182,0,0,116,0,0,308,0,0,0,683,0,0,0,0,0,0,209,270,279,156,383,130,393,0,239,203,20,40,13,17,0,0,0,0,0,26,0,0,0,0,0,0,0,0,49,0
ASV_63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7318,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
ASV_64,250,234,172,111,22,386,7,96,83,56,21,0,0,56,52,44,0,99,72,147,43,0,54,94,210,363,109,261,112,173,99,114,124,0,355,42,0,15,0,65,14,35,0,13,0,5,8,0,0,0,47,31,17,53,27,172,110,10,52,66,10,0,62,55,18,0,10,0,151,38,0,119,0,132,16,74,61,36,649
ASV_65,388,492,150,0,0,9,155,24,27,32,221,149,8,242,6,37,0,55,43,0,0,104,0,55,132,121,59,205,183,65,0,14,29,0,223,0,51,238,81,381,61,0,72,0,91,0,47,0,0,6,127,233,170,126,88,408,394,0,317,195,8,0,0,43,25,19,150,51,50,73,0,34,0,92,0,13,0,156,4
ASV_66,114,43,1426,45,53,53,0,24,142,26,22,17,0,9,0,13,9,25,43,0,0,28,0,17,0,17,0,41,19,20,0,30,28,0,25,0,0,38,7,62,0,0,14,0,0,0,0,0,0,11,12,13,51,26,31,11,41,0,0,32,0,0,0,0,13,0,0,0,0,32,9,0,0,44,0,17,0,0,23
ASV_67,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_68,0,0,0,0,0,0,0,0,0,899,90,0,76,0,0,0,0,0,8,0,0,22,87,668,330,72,0,547,242,1767,79,67,598,0,0,0,0,0,0,0,0,0,123,0,627,0,0,0,0,0,58,0,57,38,0,0,0,418,0,0,0,0,0,0,32,0,26,0,0,0,0,0,0,0,0,0,0,0,33
ASV_69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6834,0,0
ASV_70,0,0,0,0,0,0,0,0,0,23,0,0,119,0,123,0,0,0,0,0,0,0,0,41,168,0,21,0,5176,312,465,13,23,38,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,49
ASV_71,0,0,0,0,0,0,0,0,0,147,216,312,22,197,41,88,212,117,368,76,26,192,73,144,81,139,25,217,140,156,21,32,101,18,0,20,30,91,136,138,0,0,128,234,92,77,13,0,0,191,41,44,113,137,169,66,80,109,101,143,21,10,40,13,119,9,142,23,67,131,23,22,0,58,66,105,143,122,156
ASV_72,0,0,0,0,0,0,0,0,0,192,248,385,39,383,25,161,279,145,217,37,113,347,129,58,284,121,26,240,77,181,20,69,129,12,0,30,0,140,72,166,0,44,145,153,38,45,0,0,0,164,42,140,121,83,100,122,78,54,60,226,19,0,33,67,22,0,28,0,21,68,0,27,0,55,0,39,91,49,97
ASV_73,0,3958,188,0,130,0,0,364,438,19,0,0,0,10,33,35,0,77,26,38,0,0,14,359,0,0,15,31,0,0,0,18,0,0,0,0,21,22,0,0,0,0,0,60,10,0,0,0,0,0,0,0,0,0,0,26,11,0,0,24,0,0,0,0,0,0,16,0,22,101,0,44,0,61,0,58,0,0,226
ASV_74,0,0,0,0,0,0,0,0,0,134,0,0,99,0,9,0,0,0,0,0,0,0,104,7,130,15,3,28,5166,6,342,0,46,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,8,16,13,12,0,0,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,17,0,32,0
ASV_75,35,146,679,0,0,0,0,0,0,0,0,0,0,0,828,0,0,0,0,105,48,0,31,73,0,0,620,0,223,0,92,0,112,0,61,190,0,0,39,0,0,0,1102,0,0,0,19,0,0,44,346,57,62,233,171,54,0,66,18,0,261,131,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,130,35
ASV_76,0,0,10,0,0,0,0,14,0,67,0,0,0,0,825,59,0,0,0,72,33,0,140,72,0,0,45,0,0,36,1681,14,166,0,0,74,0,0,268,0,0,0,552,0,0,0,0,0,0,63,218,258,110,295,126,462,0,198,195,0,56,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,32,0
ASV_77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
